support,itemsets
0.17,frozenset({'soda'})
0.16233333333333333,frozenset({'cheese'})
0.161,frozenset({'onions'})
0.15933333333333333,frozenset({'juice'})
0.159,frozenset({'butter'})
0.15666666666666668,frozenset({'coffee'})
0.15433333333333332,frozenset({'tomatoes'})
0.154,frozenset({'potatoes'})
0.154,frozenset({'tea'})
0.15266666666666667,frozenset({'beef'})
0.15266666666666667,frozenset({'pasta'})
0.15233333333333332,frozenset({'carrots'})
0.152,frozenset({'eggs'})
0.15033333333333335,frozenset({'fish'})
0.14766666666666667,frozenset({'yogurt'})
0.147,frozenset({'bread'})
0.14666666666666667,frozenset({'cookies'})
0.14666666666666667,frozenset({'cereal'})
0.146,frozenset({'apples'})
0.14533333333333334,frozenset({'waffles'})
0.145,frozenset({'ice cream'})
0.145,frozenset({'rice'})
0.14433333333333334,frozenset({'bananas'})
0.144,frozenset({'chips'})
0.14366666666666666,frozenset({'oranges'})
0.142,frozenset({'candles'})
0.14133333333333334,frozenset({'lettuce'})
0.14133333333333334,frozenset({'milk'})
0.13933333333333334,frozenset({'hard cheese'})
0.13666666666666666,frozenset({'chicken'})
