support,itemsets,length
0.15466666666666667,frozenset({'abrasive cleaner'}),1
0.14866666666666667,frozenset({'beverages'}),1
0.143,frozenset({'bottled beer'}),1
0.16233333333333333,frozenset({'canned fish'}),1
0.14933333333333335,frozenset({'canned fruit'}),1
0.13966666666666666,frozenset({'canned vegetables'}),1
0.148,frozenset({'cling film/bags'}),1
0.16133333333333333,frozenset({'dishes'}),1
0.14833333333333334,frozenset({'female sanitary products'}),1
0.14866666666666667,frozenset({'fruit/vegetable juice'}),1
0.15,frozenset({'hard cheese'}),1
0.15966666666666668,frozenset({'herbs'}),1
0.15533333333333332,frozenset({'honey'}),1
0.13766666666666666,frozenset({'instant coffee'}),1
0.15133333333333332,frozenset({'jam'}),1
0.143,frozenset({'make up remover'}),1
0.147,frozenset({'male cosmetics'}),1
0.143,frozenset({'mayonnaise'}),1
0.15066666666666667,frozenset({'other vegetables'}),1
0.144,frozenset({'packaged fruit/vegetables'}),1
0.15266666666666667,frozenset({'popcorn'}),1
0.14833333333333334,frozenset({'processed cheese'}),1
0.14233333333333334,frozenset({'rolls/buns'}),1
0.15133333333333332,frozenset({'rubbing alcohol'}),1
0.14766666666666667,frozenset({'rum'}),1
0.15033333333333335,frozenset({'salad dressing'}),1
0.155,frozenset({'sliced cheese'}),1
0.145,frozenset({'soft cheese'}),1
0.145,frozenset({'specialty cheese'}),1
0.159,frozenset({'specialty chocolate'}),1
