TransactionID,Items
1,"bags, tropical fruit, canned beer, liver loaf"
2,"cream, salt, frozen potato products, processed cheese, snack products"
3,"curd, misc. beverages"
4,"cream, whipped/sour cream, liver loaf"
5,"salt, rice"
6,"bottled beer, sparkling wine, organic products, abrasive cleaner, specialty cheese, baby cosmetics"
7,"organic products, bags"
8,"baby cosmetics, specialty cheese, bags"
9,"prosecco, cream cheese, abrasive cleaner, canned beer, tropical fruit, semi-finished bread"
10,"hard cheese, semi-finished bread, bottled beer, butter milk, syrup, decalcifier"
11,"chicken, liver loaf, whipped/sour cream, baby cosmetics"
12,"finished products, liver loaf"
13,"specialty cheese, brandy, syrup"
14,"frozen fish, specialty cheese, decalcifier, semi-finished bread, liver loaf"
15,"tropical fruit, prosecco, decalcifier, hard cheese"
16,"decalcifier, liver loaf, processed cheese, cream cheese, chicken, frozen potato products, organic products"
17,"processed cheese, hard cheese, liver loaf, curd, frozen potato products, snack products"
18,"organic products, salt, bags"
19,"brandy, tropical fruit"
20,"frozen fish, syrup, snack products, bottled beer"
21,"frozen fish, processed cheese"
22,"whipped/sour cream, bags"
23,"hard cheese, bags, frozen potato products, specialty cheese, tropical fruit"
24,"tropical fruit, misc. beverages, bags"
25,"snack products, processed cheese, salt"
26,"canned beer, processed cheese, frozen fish, decalcifier, finished products, tropical fruit"
27,"frozen fish, abrasive cleaner, hard cheese, frozen potato products, misc. beverages"
28,"semi-finished bread, finished products, rice"
29,"rice, bags, cream, salt, prosecco, syrup, processed cheese"
30,"frozen potato products, curd, bottled beer, specialty cheese, rice"
31,"curd, rice, snack products, canned beer, frozen fish"
32,"canned beer, bags, curd, butter milk"
33,"tropical fruit, misc. beverages"
34,"cream, bottled beer, tropical fruit, hard cheese, baby cosmetics, whipped/sour cream"
35,"tropical fruit, hard cheese, chicken, misc. beverages"
36,"baby cosmetics, butter milk, abrasive cleaner, bags, finished products, tropical fruit, salt"
37,"organic products, frozen potato products, semi-finished bread"
38,"misc. beverages, baby cosmetics, finished products, abrasive cleaner"
39,"syrup, bottled beer"
40,"chicken, bags, frozen fish, sparkling wine, whipped/sour cream"
41,"misc. beverages, processed cheese, snack products, syrup, prosecco, sparkling wine, abrasive cleaner"
42,"snack products, sparkling wine, hard cheese, semi-finished bread, syrup"
43,"bags, brandy, processed cheese, butter milk, abrasive cleaner, sparkling wine, canned beer"
